desgs,epoch,M,omega,Omega,inc,ecc,a,H,q,Q,min_dist_bound_AU,V_bright_bound
1,2023-02-25,17.21569,73.47045,80.26013,10.58635,0.0788175,2.7671817,3.33,2.54907935636025,2.98528404363975,1.53232505636025,6.288671295140838
2,2023-02-25,357.84942,310.86479,172.91814,34.92703,0.2300844,2.7696317,4.12,2.1323826520845204,3.40688074791548,1.1156283520845203,6.001923416916589
3,2023-02-25,351.82414,247.73655,169.84298,12.99067,0.2564677,2.6701368,5.16,1.98533295621864,3.35494064378136,0.9685786562186398,6.579841232436043
4,2023-02-25,115.13301,151.59911,103.75733,7.13926,0.0887575,2.3630382,3.22,2.1533008369635,2.5727755630365,1.1365465369635,5.16345966111863
5,2023-02-25,256.02913,358.88647,141.52285,5.36013,0.1879237,2.5786979,7.0,2.09409944944977,3.06329635055023,1.0773451494497697,8.766760816420078
6,2023-02-25,91.8653,239.54004,138.63825,14.73757,0.2027524,2.4252405,5.61,1.9335171680478,2.9169638319522004,0.9167628680477999,6.853025236052818
7,2023-02-25,154.4805,145.4127,259.50441,5.5178,0.2296597,2.3869503,5.64,1.83876401018709,2.93513658981291,0.8220097101870898,6.537014712840921
8,2023-02-25,256.90411,285.60919,110.86405,5.88921,0.1563905,2.2010375,6.61,1.85681614485625,2.54525885514375,0.8400618448562498,7.575400816795609
9,2023-02-25,291.84483,5.9004,68.88386,5.57659,0.1234286,2.3865696,6.32,2.09199865546944,2.6811405445305603,1.0752443554694397,8.080342862313007
10,2023-02-25,39.73549,312.4867,283.17314,3.83173,0.111159,3.1401811,5.6,2.7911217091051,3.4892404908949,1.7743674091050998,9.074111632932759
11,2023-02-25,277.86276,195.73723,125.52088,4.63133,0.0994175,2.453069,6.73,2.2091910126925,2.6969469873075,1.1924367126925,8.83334303194883
12,2023-02-25,160.44401,69.61063,235.36341,8.37412,0.2205258,2.333388,7.3,1.8188157445895998,2.8479602554103995,0.8020614445895997,8.11998172578377
13,2023-02-25,161.83862,79.90611,43.20837,16.53668,0.085611,2.5755755,6.94,2.3550779058695,2.7960730941305,1.3383236058694998,9.43283208213537
14,2023-02-25,136.82574,97.76646,86.10786,9.11989,0.1655042,2.586326,6.55,2.1582781844308,3.0143738155692,1.1415238844308,8.507962118777144
15,2023-02-25,244.14511,98.71326,292.90825,11.7536,0.1870097,2.6430566,5.38,2.14877937815098,3.13733382184902,1.13202507815098,7.310239377277606
16,2023-02-25,203.81919,229.32824,150.03079,3.09685,0.1341175,2.924145,6.14,2.5319659829625003,3.3163240170375,1.5152116829625002,9.059655884514774
17,2023-02-25,299.13961,135.72412,125.53989,5.592,0.1325702,2.4712928,7.83,2.14367301924544,2.79891258075456,1.12691871924544,9.745255674359214
18,2023-02-25,303.68405,228.18172,150.35852,10.13265,0.2181677,2.295137,6.57,1.7944122395251,2.7958617604749,0.7776579395251,7.293554165849967
19,2023-02-25,198.25486,182.5434,211.03423,1.57341,0.1572313,2.4426819,7.41,2.05861584937653,2.8267479506234703,1.04186154937653,9.06692661246248
20,2023-02-25,126.00534,257.5069,205.96769,0.70919,0.1432881,2.4085745,6.61,2.0634544361865497,2.7536945638134496,1.0467001361865496,8.282085820972824
21,2023-02-25,347.05108,250.26726,80.85108,3.06388,0.163596,2.4345508,7.52,2.0362680273232,2.8328335726768,1.0195137273231998,9.106140099701216
